65P :acc 0.7823 , nmi 0.5678 , ari 0.5804 , f1 0.6511
66Q :acc 0.8052 , nmi 0.5900 , ari 0.6076 , f1 0.6434
66Z :acc 0.6841 , nmi 0.3373 , ari 0.3826 , f1 0.6055
66P :acc 0.7822 , nmi 0.5677 , ari 0.5803 , f1 0.6514
67Q :acc 0.8051 , nmi 0.5900 , ari 0.6076 , f1 0.6433
67Z :acc 0.6851 , nmi 0.3392 , ari 0.3849 , f1 0.6065
67P :acc 0.7821 , nmi 0.5676 , ari 0.5802 , f1 0.6513
68Q :acc 0.8054 , nmi 0.5909 , ari 0.6083 , f1 0.6436
68Z :acc 0.6848 , nmi 0.3402 , ari 0.3854 , f1 0.6064
68P :acc 0.7820 , nmi 0.5677 , ari 0.5802 , f1 0.6513
69Q :acc 0.8056 , nmi 0.5916 , ari 0.6088 , f1 0.6437
69Z :acc 0.6845 , nmi 0.3403 , ari 0.3855 , f1 0.6062
69P :acc 0.7820 , nmi 0.5681 , ari 0.5805 , f1 0.6514
70Q :acc 0.8055 , nmi 0.5914 , ari 0.6086 , f1 0.6437
70Z :acc 0.6850 , nmi 0.3414 , ari 0.3869 , f1 0.6067
70P :acc 0.7819 , nmi 0.5678 , ari 0.5801 , f1 0.6516
71Q :acc 0.8051 , nmi 0.5906 , ari 0.6079 , f1 0.6434
71Z :acc 0.6854 , nmi 0.3420 , ari 0.3876 , f1 0.6071
71P :acc 0.7816 , nmi 0.5673 , ari 0.5795 , f1 0.6514
72Q :acc 0.8052 , nmi 0.5910 , ari 0.6081 , f1 0.6435
72Z :acc 0.6858 , nmi 0.3427 , ari 0.3884 , f1 0.6076
72P :acc 0.7816 , nmi 0.5675 , ari 0.5797 , f1 0.6514
73Q :acc 0.8055 , nmi 0.5916 , ari 0.6089 , f1 0.6438
73Z :acc 0.6859 , nmi 0.3438 , ari 0.3894 , f1 0.6078
73P :acc 0.7816 , nmi 0.5678 , ari 0.5799 , f1 0.6515
74Q :acc 0.8060 , nmi 0.5929 , ari 0.6101 , f1 0.6442
74Z :acc 0.6863 , nmi 0.3447 , ari 0.3901 , f1 0.6086
74P :acc 0.7815 , nmi 0.5680 , ari 0.5798 , f1 0.6515
75Q :acc 0.8061 , nmi 0.5932 , ari 0.6105 , f1 0.6443
75Z :acc 0.6870 , nmi 0.3458 , ari 0.3912 , f1 0.6101
75P :acc 0.7814 , nmi 0.5680 , ari 0.5797 , f1 0.6514
76Q :acc 0.8061 , nmi 0.5931 , ari 0.6104 , f1 0.6443
76Z :acc 0.6871 , nmi 0.3461 , ari 0.3913 , f1 0.6109
76P :acc 0.7817 , nmi 0.5686 , ari 0.5805 , f1 0.6520
77Q :acc 0.8059 , nmi 0.5927 , ari 0.6101 , f1 0.6442
77Z :acc 0.6871 , nmi 0.3465 , ari 0.3921 , f1 0.6113
77P :acc 0.7815 , nmi 0.5687 , ari 0.5803 , f1 0.6519
78Q :acc 0.8059 , nmi 0.5928 , ari 0.6101 , f1 0.6442
78Z :acc 0.6867 , nmi 0.3469 , ari 0.3921 , f1 0.6111
78P :acc 0.7816 , nmi 0.5696 , ari 0.5809 , f1 0.6521
79Q :acc 0.8059 , nmi 0.5929 , ari 0.6104 , f1 0.6443
79Z :acc 0.6871 , nmi 0.3483 , ari 0.3934 , f1 0.6119
79P :acc 0.7816 , nmi 0.5699 , ari 0.5813 , f1 0.6522
80Q :acc 0.8057 , nmi 0.5926 , ari 0.6102 , f1 0.6442
80Z :acc 0.6872 , nmi 0.3488 , ari 0.3938 , f1 0.6123
80P :acc 0.7817 , nmi 0.5705 , ari 0.5817 , f1 0.6523
81Q :acc 0.8059 , nmi 0.5931 , ari 0.6107 , f1 0.6444
81Z :acc 0.6869 , nmi 0.3491 , ari 0.3940 , f1 0.6123
81P :acc 0.7812 , nmi 0.5700 , ari 0.5810 , f1 0.6520
82Q :acc 0.8059 , nmi 0.5932 , ari 0.6107 , f1 0.6444
82Z :acc 0.6869 , nmi 0.3495 , ari 0.3948 , f1 0.6121
82P :acc 0.7813 , nmi 0.5701 , ari 0.5812 , f1 0.6521
83Q :acc 0.8058 , nmi 0.5932 , ari 0.6105 , f1 0.6444
83Z :acc 0.6872 , nmi 0.3504 , ari 0.3953 , f1 0.6131
83P :acc 0.7814 , nmi 0.5703 , ari 0.5815 , f1 0.6522
84Q :acc 0.8057 , nmi 0.5929 , ari 0.6103 , f1 0.6443
84Z :acc 0.6874 , nmi 0.3512 , ari 0.3962 , f1 0.6135
84P :acc 0.7811 , nmi 0.5700 , ari 0.5813 , f1 0.6520
85Q :acc 0.8058 , nmi 0.5933 , ari 0.6105 , f1 0.6444
85Z :acc 0.6883 , nmi 0.3524 , ari 0.3976 , f1 0.6147
85P :acc 0.7807 , nmi 0.5698 , ari 0.5809 , f1 0.6518
86Q :acc 0.8056 , nmi 0.5928 , ari 0.6103 , f1 0.6443
86Z :acc 0.6880 , nmi 0.3523 , ari 0.3974 , f1 0.6146
86P :acc 0.7805 , nmi 0.5697 , ari 0.5806 , f1 0.6517
87Q :acc 0.8056 , nmi 0.5929 , ari 0.6103 , f1 0.6443
87Z :acc 0.6880 , nmi 0.3524 , ari 0.3975 , f1 0.6147
87P :acc 0.7798 , nmi 0.5693 , ari 0.5794 , f1 0.6514
88Q :acc 0.8054 , nmi 0.5926 , ari 0.6100 , f1 0.6442
88Z :acc 0.6882 , nmi 0.3536 , ari 0.3982 , f1 0.6150
88P :acc 0.7796 , nmi 0.5692 , ari 0.5791 , f1 0.6513
89Q :acc 0.8053 , nmi 0.5923 , ari 0.6099 , f1 0.6441
89Z :acc 0.6884 , nmi 0.3541 , ari 0.3983 , f1 0.6157
