90P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
91Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
91Z :acc 0.6492 , nmi 0.3872 , ari 0.3900 , f1 0.6144
91P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
92Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
92Z :acc 0.6613 , nmi 0.3903 , ari 0.4005 , f1 0.6253
92P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
93Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
93Z :acc 0.6501 , nmi 0.3852 , ari 0.3921 , f1 0.6167
93P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
94Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
94Z :acc 0.6567 , nmi 0.3893 , ari 0.3970 , f1 0.6225
94P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
95Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
95Z :acc 0.6595 , nmi 0.3910 , ari 0.4011 , f1 0.6232
95P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
96Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
96Z :acc 0.6489 , nmi 0.3840 , ari 0.3906 , f1 0.6146
96P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
97Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
97Z :acc 0.6592 , nmi 0.3891 , ari 0.3994 , f1 0.6233
97P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
98Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
98Z :acc 0.6486 , nmi 0.3833 , ari 0.3897 , f1 0.6138
98P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
99Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
99Z :acc 0.6531 , nmi 0.3829 , ari 0.3928 , f1 0.6198
99P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
100Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
100Z :acc 0.6534 , nmi 0.3855 , ari 0.3922 , f1 0.6180
100P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
101Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
101Z :acc 0.6498 , nmi 0.3810 , ari 0.3914 , f1 0.6159
101P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
