95Z :acc 0.6035 , nmi 0.5277 , ari 0.4181 , f1 0.4932
95P :acc 0.8716 , nmi 0.7955 , ari 0.7499 , f1 0.8732
96Q :acc 0.8711 , nmi 0.7957 , ari 0.7494 , f1 0.8725
96Z :acc 0.6042 , nmi 0.5296 , ari 0.4199 , f1 0.4940
96P :acc 0.8720 , nmi 0.7962 , ari 0.7507 , f1 0.8736
97Q :acc 0.8713 , nmi 0.7963 , ari 0.7499 , f1 0.8728
97Z :acc 0.6044 , nmi 0.5303 , ari 0.4208 , f1 0.4943
97P :acc 0.8725 , nmi 0.7971 , ari 0.7516 , f1 0.8741
98Q :acc 0.8717 , nmi 0.7971 , ari 0.7508 , f1 0.8732
98Z :acc 0.6045 , nmi 0.5303 , ari 0.4212 , f1 0.4944
98P :acc 0.8729 , nmi 0.7978 , ari 0.7524 , f1 0.8746
99Q :acc 0.8721 , nmi 0.7977 , ari 0.7515 , f1 0.8737
99Z :acc 0.6049 , nmi 0.5316 , ari 0.4226 , f1 0.4950
99P :acc 0.8732 , nmi 0.7983 , ari 0.7529 , f1 0.8749
100Q :acc 0.8728 , nmi 0.7987 , ari 0.7527 , f1 0.8743
100Z :acc 0.6054 , nmi 0.5335 , ari 0.4243 , f1 0.4957
100P :acc 0.8735 , nmi 0.7987 , ari 0.7536 , f1 0.8752
101Q :acc 0.8730 , nmi 0.7990 , ari 0.7531 , f1 0.8746
101Z :acc 0.6056 , nmi 0.5349 , ari 0.4257 , f1 0.4962
101P :acc 0.8735 , nmi 0.7990 , ari 0.7536 , f1 0.8752
102Q :acc 0.8731 , nmi 0.7993 , ari 0.7533 , f1 0.8747
102Z :acc 0.6055 , nmi 0.5359 , ari 0.4267 , f1 0.4964
102P :acc 0.8736 , nmi 0.7992 , ari 0.7538 , f1 0.8753
103Q :acc 0.8735 , nmi 0.7999 , ari 0.7540 , f1 0.8751
103Z :acc 0.6062 , nmi 0.5384 , ari 0.4290 , f1 0.4973
103P :acc 0.8739 , nmi 0.7997 , ari 0.7544 , f1 0.8756
104Q :acc 0.8739 , nmi 0.8005 , ari 0.7548 , f1 0.8755
104Z :acc 0.6062 , nmi 0.5400 , ari 0.4304 , f1 0.4976
104P :acc 0.8745 , nmi 0.8007 , ari 0.7555 , f1 0.8762
105Q :acc 0.8743 , nmi 0.8012 , ari 0.7555 , f1 0.8760
105Z :acc 0.6063 , nmi 0.5415 , ari 0.4319 , f1 0.4981
105P :acc 0.8746 , nmi 0.8011 , ari 0.7559 , f1 0.8764
106Q :acc 0.8744 , nmi 0.8013 , ari 0.7557 , f1 0.8761
106Z :acc 0.6060 , nmi 0.5437 , ari 0.4334 , f1 0.4984
106P :acc 0.8746 , nmi 0.8012 , ari 0.7558 , f1 0.8763
107Q :acc 0.8746 , nmi 0.8018 , ari 0.7562 , f1 0.8764
107Z :acc 0.6058 , nmi 0.5454 , ari 0.4349 , f1 0.4988
107P :acc 0.8747 , nmi 0.8015 , ari 0.7562 , f1 0.8766
108Q :acc 0.8748 , nmi 0.8022 , ari 0.7566 , f1 0.8766
108Z :acc 0.6058 , nmi 0.5480 , ari 0.4368 , f1 0.4994
108P :acc 0.8747 , nmi 0.8015 , ari 0.7562 , f1 0.8765
109Q :acc 0.8751 , nmi 0.8029 , ari 0.7572 , f1 0.8769
109Z :acc 0.6056 , nmi 0.5498 , ari 0.4377 , f1 0.4997
109P :acc 0.8748 , nmi 0.8021 , ari 0.7565 , f1 0.8767
110Q :acc 0.8754 , nmi 0.8034 , ari 0.7577 , f1 0.8772
110Z :acc 0.6056 , nmi 0.5515 , ari 0.4388 , f1 0.5001
110P :acc 0.8748 , nmi 0.8022 , ari 0.7566 , f1 0.8767
111Q :acc 0.8760 , nmi 0.8043 , ari 0.7589 , f1 0.8779
111Z :acc 0.6047 , nmi 0.5523 , ari 0.4388 , f1 0.4997
111P :acc 0.8751 , nmi 0.8027 , ari 0.7572 , f1 0.8770
112Q :acc 0.8759 , nmi 0.8044 , ari 0.7589 , f1 0.8778
112Z :acc 0.6039 , nmi 0.5520 , ari 0.4386 , f1 0.4993
112P :acc 0.8755 , nmi 0.8035 , ari 0.7579 , f1 0.8774
113Q :acc 0.8761 , nmi 0.8048 , ari 0.7592 , f1 0.8780
113Z :acc 0.6039 , nmi 0.5537 , ari 0.4395 , f1 0.4996
113P :acc 0.8758 , nmi 0.8041 , ari 0.7585 , f1 0.8778
114Q :acc 0.8764 , nmi 0.8054 , ari 0.7598 , f1 0.8783
114Z :acc 0.6037 , nmi 0.5542 , ari 0.4398 , f1 0.4997
114P :acc 0.8759 , nmi 0.8044 , ari 0.7588 , f1 0.8779
115Q :acc 0.8767 , nmi 0.8058 , ari 0.7603 , f1 0.8786
115Z :acc 0.6034 , nmi 0.5553 , ari 0.4404 , f1 0.4997
115P :acc 0.8759 , nmi 0.8044 , ari 0.7588 , f1 0.8779
116Q :acc 0.8772 , nmi 0.8067 , ari 0.7612 , f1 0.8791
116Z :acc 0.6029 , nmi 0.5571 , ari 0.4411 , f1 0.4997
116P :acc 0.8760 , nmi 0.8046 , ari 0.7590 , f1 0.8780
117Q :acc 0.8772 , nmi 0.8068 , ari 0.7613 , f1 0.8792
