77Z :acc 0.6948 , nmi 0.3570 , ari 0.3548 , f1 0.6952
77P :acc 0.6897 , nmi 0.3543 , ari 0.3562 , f1 0.6919
78Q :acc 0.6907 , nmi 0.3581 , ari 0.3558 , f1 0.6934
78Z :acc 0.6948 , nmi 0.3574 , ari 0.3551 , f1 0.6953
78P :acc 0.6892 , nmi 0.3537 , ari 0.3556 , f1 0.6914
79Q :acc 0.6894 , nmi 0.3561 , ari 0.3539 , f1 0.6922
79Z :acc 0.6963 , nmi 0.3601 , ari 0.3574 , f1 0.6971
79P :acc 0.6899 , nmi 0.3551 , ari 0.3570 , f1 0.6921
80Q :acc 0.6889 , nmi 0.3555 , ari 0.3531 , f1 0.6918
80Z :acc 0.6958 , nmi 0.3597 , ari 0.3569 , f1 0.6966
80P :acc 0.6902 , nmi 0.3556 , ari 0.3573 , f1 0.6924
81Q :acc 0.6882 , nmi 0.3548 , ari 0.3523 , f1 0.6911
81Z :acc 0.6958 , nmi 0.3602 , ari 0.3573 , f1 0.6967
81P :acc 0.6899 , nmi 0.3557 , ari 0.3572 , f1 0.6921
82Q :acc 0.6870 , nmi 0.3534 , ari 0.3508 , f1 0.6899
82Z :acc 0.6961 , nmi 0.3595 , ari 0.3576 , f1 0.6969
82P :acc 0.6887 , nmi 0.3543 , ari 0.3555 , f1 0.6909
83Q :acc 0.6867 , nmi 0.3529 , ari 0.3505 , f1 0.6896
83Z :acc 0.6976 , nmi 0.3619 , ari 0.3604 , f1 0.6984
83P :acc 0.6887 , nmi 0.3546 , ari 0.3555 , f1 0.6910
84Q :acc 0.6862 , nmi 0.3521 , ari 0.3497 , f1 0.6891
84Z :acc 0.6971 , nmi 0.3611 , ari 0.3598 , f1 0.6978
84P :acc 0.6887 , nmi 0.3549 , ari 0.3556 , f1 0.6911
85Q :acc 0.6855 , nmi 0.3506 , ari 0.3489 , f1 0.6883
85Z :acc 0.6966 , nmi 0.3598 , ari 0.3591 , f1 0.6973
85P :acc 0.6882 , nmi 0.3537 , ari 0.3548 , f1 0.6905
86Q :acc 0.6845 , nmi 0.3490 , ari 0.3474 , f1 0.6872
86Z :acc 0.6963 , nmi 0.3602 , ari 0.3591 , f1 0.6971
86P :acc 0.6857 , nmi 0.3502 , ari 0.3516 , f1 0.6879
87Q :acc 0.6842 , nmi 0.3487 , ari 0.3472 , f1 0.6870
87Z :acc 0.6968 , nmi 0.3613 , ari 0.3601 , f1 0.6977
87P :acc 0.6857 , nmi 0.3508 , ari 0.3516 , f1 0.6881
88Q :acc 0.6845 , nmi 0.3490 , ari 0.3474 , f1 0.6873
88Z :acc 0.6976 , nmi 0.3616 , ari 0.3613 , f1 0.6983
88P :acc 0.6852 , nmi 0.3503 , ari 0.3511 , f1 0.6876
89Q :acc 0.6842 , nmi 0.3485 , ari 0.3471 , f1 0.6871
89Z :acc 0.6976 , nmi 0.3613 , ari 0.3615 , f1 0.6983
89P :acc 0.6845 , nmi 0.3499 , ari 0.3505 , f1 0.6869
90Q :acc 0.6835 , nmi 0.3475 , ari 0.3461 , f1 0.6863
90Z :acc 0.6988 , nmi 0.3626 , ari 0.3637 , f1 0.6995
90P :acc 0.6835 , nmi 0.3481 , ari 0.3489 , f1 0.6858
91Q :acc 0.6828 , nmi 0.3474 , ari 0.3453 , f1 0.6857
91Z :acc 0.6993 , nmi 0.3636 , ari 0.3652 , f1 0.7000
91P :acc 0.6833 , nmi 0.3484 , ari 0.3488 , f1 0.6856
92Q :acc 0.6828 , nmi 0.3478 , ari 0.3457 , f1 0.6857
92Z :acc 0.7013 , nmi 0.3662 , ari 0.3686 , f1 0.7019
92P :acc 0.6835 , nmi 0.3488 , ari 0.3492 , f1 0.6859
93Q :acc 0.6810 , nmi 0.3463 , ari 0.3441 , f1 0.6839
93Z :acc 0.7027 , nmi 0.3680 , ari 0.3709 , f1 0.7034
93P :acc 0.6828 , nmi 0.3476 , ari 0.3483 , f1 0.6851
94Q :acc 0.6808 , nmi 0.3461 , ari 0.3439 , f1 0.6836
94Z :acc 0.7030 , nmi 0.3686 , ari 0.3716 , f1 0.7037
94P :acc 0.6818 , nmi 0.3464 , ari 0.3471 , f1 0.6840
95Q :acc 0.6793 , nmi 0.3444 , ari 0.3417 , f1 0.6822
95Z :acc 0.7030 , nmi 0.3688 , ari 0.3719 , f1 0.7037
95P :acc 0.6810 , nmi 0.3452 , ari 0.3458 , f1 0.6833
96Q :acc 0.6796 , nmi 0.3451 , ari 0.3422 , f1 0.6825
96Z :acc 0.7032 , nmi 0.3695 , ari 0.3725 , f1 0.7040
96P :acc 0.6808 , nmi 0.3449 , ari 0.3454 , f1 0.6831
97Q :acc 0.6791 , nmi 0.3443 , ari 0.3417 , f1 0.6820
97Z :acc 0.7035 , nmi 0.3708 , ari 0.3735 , f1 0.7043
97P :acc 0.6808 , nmi 0.3449 , ari 0.3454 , f1 0.6831
98Q :acc 0.6788 , nmi 0.3441 , ari 0.3416 , f1 0.6817
98Z :acc 0.7027 , nmi 0.3698 , ari 0.3727 , f1 0.7036
